2024-02-19 12:20:10,868 INFO    MainThread:9341 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-19 12:20:10,869 INFO    MainThread:9341 [wandb_setup.py:_flush():76] Configure stats pid to 9341
2024-02-19 12:20:10,869 INFO    MainThread:9341 [wandb_setup.py:_flush():76] Loading settings from /home/kapi/.config/wandb/settings
2024-02-19 12:20:10,869 INFO    MainThread:9341 [wandb_setup.py:_flush():76] Loading settings from /home/kapi/Programming/Internship/cnn-mnist/wandb/settings
2024-02-19 12:20:10,869 INFO    MainThread:9341 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-19 12:20:10,869 INFO    MainThread:9341 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-19 12:20:10,869 INFO    MainThread:9341 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'cnn.py', 'program_abspath': '/home/kapi/Programming/Internship/cnn-mnist/cnn.py', 'program': '/home/kapi/Programming/Internship/cnn-mnist/cnn.py'}
2024-02-19 12:20:10,869 INFO    MainThread:9341 [wandb_init.py:_log_setup():526] Logging user logs to /home/kapi/Programming/Internship/cnn-mnist/wandb/run-20240219_122010-6ejxxk4k/logs/debug.log
2024-02-19 12:20:10,869 INFO    MainThread:9341 [wandb_init.py:_log_setup():527] Logging internal logs to /home/kapi/Programming/Internship/cnn-mnist/wandb/run-20240219_122010-6ejxxk4k/logs/debug-internal.log
2024-02-19 12:20:10,869 INFO    MainThread:9341 [wandb_init.py:init():566] calling init triggers
2024-02-19 12:20:10,869 INFO    MainThread:9341 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'batch_size': 32, 'epochs': 5, 'momentum': 0.9}
2024-02-19 12:20:10,869 INFO    MainThread:9341 [wandb_init.py:init():616] starting backend
2024-02-19 12:20:10,869 INFO    MainThread:9341 [wandb_init.py:init():620] setting up manager
2024-02-19 12:20:10,871 INFO    MainThread:9341 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-19 12:20:10,872 INFO    MainThread:9341 [wandb_init.py:init():628] backend started and connected
2024-02-19 12:20:10,875 INFO    MainThread:9341 [wandb_init.py:init():720] updated telemetry
2024-02-19 12:20:10,880 INFO    MainThread:9341 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-19 12:20:11,495 INFO    MainThread:9341 [wandb_run.py:_on_init():2262] communicating current version
2024-02-19 12:20:11,768 INFO    MainThread:9341 [wandb_run.py:_on_init():2271] got version response 
2024-02-19 12:20:11,768 INFO    MainThread:9341 [wandb_init.py:init():804] starting run threads in backend
2024-02-19 12:20:11,805 INFO    MainThread:9341 [wandb_run.py:_console_start():2241] atexit reg
2024-02-19 12:20:11,805 INFO    MainThread:9341 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-19 12:20:11,806 INFO    MainThread:9341 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-19 12:20:11,806 INFO    MainThread:9341 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-19 12:20:11,806 INFO    MainThread:9341 [wandb_init.py:init():847] run started, returning control to user process
2024-02-19 12:20:30,822 INFO    MainThread:9341 [wandb_run.py:_finish():1970] finishing run wojtowicz-kacper/mnist-cnn/6ejxxk4k
2024-02-19 12:20:30,822 INFO    MainThread:9341 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-02-19 12:20:30,822 INFO    MainThread:9341 [wandb_run.py:_restore():2193] restore
2024-02-19 12:20:30,822 INFO    MainThread:9341 [wandb_run.py:_restore():2199] restore done
2024-02-19 12:20:37,777 INFO    MainThread:9341 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-02-19 12:20:37,778 INFO    MainThread:9341 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-02-19 12:20:37,785 INFO    MainThread:9341 [wandb_run.py:_footer_sync_info():3825] logging synced files
