

Epoch: 1/10, 1500/1500, ETA: 01m 00s
Epoch 1/10, Loss: 1.3043, Accuracy: 0.5996

Epoch: 2/10, 1500/1500, ETA: 01m 26s
Epoch 2/10, Loss: 0.2352, Accuracy: 0.9289
Epoch: 3/10, 1500/1500, ETA: 01m 42s
Epoch 3/10, Loss: 0.1504, Accuracy: 0.9548

Epoch: 4/10, 1500/1500, ETA: 01m 50s
Epoch 4/10, Loss: 0.1169, Accuracy: 0.9652

Epoch: 5/10, 1500/1500, ETA: 01m 50s
Epoch 5/10, Loss: 0.1006, Accuracy: 0.9688

Epoch: 6/10, 1500/1500, ETA: 01m 45s
Epoch 6/10, Loss: 0.0894, Accuracy: 0.9726


Epoch: 7/10, 1500/1500, ETA: 01m 32s
Epoch 7/10, Loss: 0.0821, Accuracy: 0.9745

Epoch: 8/10, 1500/1500, ETA: 01m 09s
Epoch 8/10, Loss: 0.0748, Accuracy: 0.9776
Epoch: 9/10, 1500/1500, ETA: 00m 38s
Epoch 9/10, Loss: 0.0694, Accuracy: 0.9790


Epoch: 10/10, 1500/1500, ETA: 00m 00s
Epoch 10/10, Loss: 0.0647, Accuracy: 0.9799
