2024-02-19 12:32:18,687 INFO    MainThread:12912 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-19 12:32:18,688 INFO    MainThread:12912 [wandb_setup.py:_flush():76] Configure stats pid to 12912
2024-02-19 12:32:18,688 INFO    MainThread:12912 [wandb_setup.py:_flush():76] Loading settings from /home/kapi/.config/wandb/settings
2024-02-19 12:32:18,688 INFO    MainThread:12912 [wandb_setup.py:_flush():76] Loading settings from /home/kapi/Programming/Internship/cnn-mnist/wandb/settings
2024-02-19 12:32:18,688 INFO    MainThread:12912 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-19 12:32:18,688 INFO    MainThread:12912 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-19 12:32:18,689 INFO    MainThread:12912 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'cnn.py', 'program_abspath': '/home/kapi/Programming/Internship/cnn-mnist/cnn.py', 'program': '/home/kapi/Programming/Internship/cnn-mnist/cnn.py'}
2024-02-19 12:32:18,689 INFO    MainThread:12912 [wandb_init.py:_log_setup():526] Logging user logs to /home/kapi/Programming/Internship/cnn-mnist/wandb/run-20240219_123218-7tr99sc2/logs/debug.log
2024-02-19 12:32:18,689 INFO    MainThread:12912 [wandb_init.py:_log_setup():527] Logging internal logs to /home/kapi/Programming/Internship/cnn-mnist/wandb/run-20240219_123218-7tr99sc2/logs/debug-internal.log
2024-02-19 12:32:18,689 INFO    MainThread:12912 [wandb_init.py:init():566] calling init triggers
2024-02-19 12:32:18,690 INFO    MainThread:12912 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'batch_size': 32, 'epochs': 10, 'momentum': 0.9, 'kernel_size': 3}
2024-02-19 12:32:18,690 INFO    MainThread:12912 [wandb_init.py:init():616] starting backend
2024-02-19 12:32:18,690 INFO    MainThread:12912 [wandb_init.py:init():620] setting up manager
2024-02-19 12:32:18,693 INFO    MainThread:12912 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-19 12:32:18,696 INFO    MainThread:12912 [wandb_init.py:init():628] backend started and connected
2024-02-19 12:32:18,703 INFO    MainThread:12912 [wandb_init.py:init():720] updated telemetry
2024-02-19 12:32:18,719 INFO    MainThread:12912 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-19 12:32:19,359 INFO    MainThread:12912 [wandb_run.py:_on_init():2262] communicating current version
2024-02-19 12:32:19,678 INFO    MainThread:12912 [wandb_run.py:_on_init():2271] got version response 
2024-02-19 12:32:19,678 INFO    MainThread:12912 [wandb_init.py:init():804] starting run threads in backend
2024-02-19 12:32:19,715 INFO    MainThread:12912 [wandb_run.py:_console_start():2241] atexit reg
2024-02-19 12:32:19,715 INFO    MainThread:12912 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-19 12:32:19,715 INFO    MainThread:12912 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-19 12:32:19,716 INFO    MainThread:12912 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-19 12:32:19,716 INFO    MainThread:12912 [wandb_init.py:init():847] run started, returning control to user process
2024-02-19 12:32:49,810 WARNING MsgRouterThr:12912 [router.py:message_loop():77] message_loop has been closed
