

Epoch: 1/10, 1500/1500, ETA: 01m 11s
Epoch 1/10, Loss: 0.3285, Accuracy: 0.8951
Epoch: 2/10, 1500/1500, ETA: 01m 32s
Epoch 2/10, Loss: 0.0903, Accuracy: 0.9723

Epoch: 3/10, 1500/1500, ETA: 01m 47s
Epoch 3/10, Loss: 0.0704, Accuracy: 0.9783


Epoch: 4/10, 1500/1500, ETA: 01m 54s
Epoch 4/10, Loss: 0.0587, Accuracy: 0.9818
Epoch: 5/10, 1500/1500, ETA: 01m 54s
Epoch 5/10, Loss: 0.0536, Accuracy: 0.9832
Epoch: 6/10, 1500/1500, ETA: 01m 46s
Epoch 6/10, Loss: 0.0485, Accuracy: 0.9847
Epoch: 7/10, 1500/1500, ETA: 01m 33s
Epoch 7/10, Loss: 0.0440, Accuracy: 0.9855
Epoch: 8/10, 1500/1500, ETA: 01m 11s
Epoch 8/10, Loss: 0.0419, Accuracy: 0.9875
Epoch: 9/10, 1500/1500, ETA: 00m 39s
Epoch 9/10, Loss: 0.0382, Accuracy: 0.9879
Epoch: 10/10, 1500/1500, ETA: 00m 00s
Epoch 10/10, Loss: 0.0355, Accuracy: 0.9890
