

Epoch: 1/10, 1500/1500, ETA: 01m 10s
Epoch 1/10, Loss: 0.2559, Accuracy: 0.9229
Epoch: 2/10, 1500/1500, ETA: 01m 33s
Epoch 2/10, Loss: 0.1656, Accuracy: 0.9527

Epoch: 3/10, 1500/1500, ETA: 01m 48s
Epoch 3/10, Loss: 0.1571, Accuracy: 0.9552

Epoch: 4/10, 1500/1500, ETA: 01m 55s
Epoch 4/10, Loss: 0.1557, Accuracy: 0.9564

Epoch: 5/10, 1500/1500, ETA: 01m 56s
Epoch 5/10, Loss: 0.1487, Accuracy: 0.9598

Epoch: 6/10, 1500/1500, ETA: 01m 49s
Epoch 6/10, Loss: 0.1511, Accuracy: 0.9582

Epoch: 7/10, 1500/1500, ETA: 01m 36s
Epoch 7/10, Loss: 0.1443, Accuracy: 0.9601


Epoch: 8/10, 1500/1500, ETA: 01m 12s
Epoch 8/10, Loss: 0.1489, Accuracy: 0.9591

Epoch: 9/10, 1500/1500, ETA: 00m 40s
Epoch 9/10, Loss: 0.1525, Accuracy: 0.9587

Epoch: 10/10, 1500/1500, ETA: 00m 00s
Epoch 10/10, Loss: 0.1403, Accuracy: 0.9610
