
Epoch: 1/10, 1500/1500, ETA: 01m 00s
Epoch 1/10, Loss: 0.3287, Accuracy: 0.8940
Epoch: 2/10, 1500/1500, ETA: 01m 23s
Epoch 2/10, Loss: 0.0968, Accuracy: 0.9711

Epoch: 3/10, 1500/1500, ETA: 01m 39s
Epoch 3/10, Loss: 0.0727, Accuracy: 0.9776

Epoch: 4/10, 1500/1500, ETA: 01m 46s
Epoch 4/10, Loss: 0.0601, Accuracy: 0.9806

Epoch: 5/10, 1500/1500, ETA: 01m 47s
Epoch 5/10, Loss: 0.0538, Accuracy: 0.9832

Epoch: 6/10, 1500/1500, ETA: 01m 42s
Epoch 6/10, Loss: 0.0476, Accuracy: 0.9854

Epoch: 7/10, 1500/1500, ETA: 01m 28s
Epoch 7/10, Loss: 0.0430, Accuracy: 0.9862

Epoch: 8/10, 1500/1500, ETA: 01m 07s
Epoch 8/10, Loss: 0.0401, Accuracy: 0.9872

Epoch: 9/10, 1500/1500, ETA: 00m 37s
Epoch 9/10, Loss: 0.0379, Accuracy: 0.9885

Epoch: 10/10, 1500/1500, ETA: 00m 00s
Epoch 10/10, Loss: 0.0375, Accuracy: 0.9879
