
Epoch: 1/10, 1500/1500, ETA: 00m 52s
Epoch 1/10, Loss: 0.3598, Accuracy: 0.8841

Epoch: 2/10, 1500/1500, ETA: 01m 14s
Epoch 2/10, Loss: 0.1075, Accuracy: 0.9660

Epoch: 3/10, 1500/1500, ETA: 01m 29s
Epoch 3/10, Loss: 0.0873, Accuracy: 0.9723

Epoch: 4/10, 1500/1500, ETA: 01m 37s
Epoch 4/10, Loss: 0.0805, Accuracy: 0.9744
Epoch: 5/10, 1500/1500, ETA: 01m 38s
Epoch 5/10, Loss: 0.0687, Accuracy: 0.9782
Epoch: 6/10, 1500/1500, ETA: 01m 32s
Epoch 6/10, Loss: 0.0669, Accuracy: 0.9790
Epoch: 7/10, 1500/1500, ETA: 01m 20s
Epoch 7/10, Loss: 0.0640, Accuracy: 0.9794
Epoch: 8/10, 1500/1500, ETA: 01m 00s
Epoch 8/10, Loss: 0.0612, Accuracy: 0.9804
Epoch: 9/10, 1500/1500, ETA: 00m 33s
Epoch 9/10, Loss: 0.0582, Accuracy: 0.9815
Epoch: 10/10, 1500/1500, ETA: 00m 00s
Epoch 10/10, Loss: 0.0572, Accuracy: 0.9815
