
Epoch: 1/15, 1500/1500, ETA: 01m 52s
Epoch 1/15, Loss: 0.4556, Accuracy: 0.8526

Epoch: 2/15, 1500/1500, ETA: 02m 30s
Epoch 2/15, Loss: 0.1078, Accuracy: 0.9655

Epoch: 3/15, 1500/1500, ETA: 03m 02s
Epoch 3/15, Loss: 0.0856, Accuracy: 0.9729

Epoch: 4/15, 1500/1500, ETA: 03m 26s
Epoch 4/15, Loss: 0.0733, Accuracy: 0.9765

Epoch: 5/15, 1500/1500, ETA: 03m 43s
Epoch 5/15, Loss: 0.0717, Accuracy: 0.9775
Epoch: 6/15, 1500/1500, ETA: 03m 53s
Epoch 6/15, Loss: 0.0651, Accuracy: 0.9794

Epoch: 7/15, 1500/1500, ETA: 03m 59s
Epoch 7/15, Loss: 0.0621, Accuracy: 0.9803

Epoch: 8/15, 1500/1500, ETA: 03m 54s
Epoch 8/15, Loss: 0.0590, Accuracy: 0.9815

Epoch: 9/15, 1500/1500, ETA: 03m 42s
Epoch 9/15, Loss: 0.0560, Accuracy: 0.9823

Epoch: 10/15, 1500/1500, ETA: 03m 22s
Epoch 10/15, Loss: 0.0549, Accuracy: 0.9820
Epoch: 11/15, 1500/1500, ETA: 02m 56s
Epoch 11/15, Loss: 0.0530, Accuracy: 0.9829

Epoch: 12/15, 1500/1500, ETA: 02m 23s
Epoch 12/15, Loss: 0.0513, Accuracy: 0.9828

Epoch: 13/15, 1500/1500, ETA: 01m 42s
Epoch 13/15, Loss: 0.0511, Accuracy: 0.9830

Epoch: 14/15, 1500/1500, ETA: 00m 55s
Epoch 14/15, Loss: 0.0508, Accuracy: 0.9835

Epoch: 15/15, 1500/1500, ETA: 00m 00s
Epoch 15/15, Loss: 0.0490, Accuracy: 0.9839
