

Epoch: 1/15, 1500/1500, ETA: 01m 47s
Epoch 1/15, Loss: 0.2617, Accuracy: 0.9176

Epoch: 2/15, 1500/1500, ETA: 02m 32s
Epoch 2/15, Loss: 0.1228, Accuracy: 0.9604

Epoch: 3/15, 1500/1500, ETA: 03m 08s
Epoch 3/15, Loss: 0.1090, Accuracy: 0.9670

Epoch: 4/15, 1500/1500, ETA: 03m 35s
Epoch 4/15, Loss: 0.0961, Accuracy: 0.9694
Epoch: 5/15, 1500/1500, ETA: 03m 54s
Epoch 5/15, Loss: 0.0891, Accuracy: 0.9709
Epoch: 6/15, 1500/1500, ETA: 04m 07s
Epoch 6/15, Loss: 0.0863, Accuracy: 0.9721

Epoch: 7/15, 1500/1500, ETA: 04m 12s
Epoch 7/15, Loss: 0.0856, Accuracy: 0.9730


Epoch: 8/15, 1500/1500, ETA: 04m 09s
Epoch 8/15, Loss: 0.0803, Accuracy: 0.9743

Epoch: 9/15, 1500/1500, ETA: 03m 58s
Epoch 9/15, Loss: 0.0786, Accuracy: 0.9750

Epoch: 10/15, 1500/1500, ETA: 03m 40s
Epoch 10/15, Loss: 0.0771, Accuracy: 0.9756

Epoch: 11/15, 1500/1500, ETA: 03m 14s
Epoch 11/15, Loss: 0.0751, Accuracy: 0.9773

Epoch: 12/15, 1500/1500, ETA: 02m 39s
Epoch 12/15, Loss: 0.0739, Accuracy: 0.9772

Epoch: 13/15, 1500/1500, ETA: 01m 55s
Epoch 13/15, Loss: 0.0743, Accuracy: 0.9759


Epoch: 14/15, 1500/1500, ETA: 01m 02s
Epoch 14/15, Loss: 0.0715, Accuracy: 0.9773

Epoch: 15/15, 1500/1500, ETA: 00m 00s
Epoch 15/15, Loss: 0.0752, Accuracy: 0.9771
