
Epoch: 1/15, 1500/1500, ETA: 02m 25s
Epoch 1/15, Loss: 0.3073, Accuracy: 0.9026
Validation Loss: 0.0001, Validation Accuracy: 1.0000
Validation Loss: 0.0003, Validation Accuracy: 0.9688
Validation Loss: 0.0004, Validation Accuracy: 0.9792
Validation Loss: 0.0005, Validation Accuracy: 0.9766
Validation Loss: 0.0007, Validation Accuracy: 0.9750
Validation Loss: 0.0009, Validation Accuracy: 0.9740
Validation Loss: 0.0011, Validation Accuracy: 0.9732
Validation Loss: 0.0014, Validation Accuracy: 0.9727
Validation Loss: 0.0020, Validation Accuracy: 0.9688
Validation Loss: 0.0022, Validation Accuracy: 0.9688
Validation Loss: 0.0023, Validation Accuracy: 0.9688
Validation Loss: 0.0023, Validation Accuracy: 0.9714
Validation Loss: 0.0041, Validation Accuracy: 0.9663
Validation Loss: 0.0041, Validation Accuracy: 0.9688
Validation Loss: 0.0048, Validation Accuracy: 0.9688
Validation Loss: 0.0064, Validation Accuracy: 0.9629
Validation Loss: 0.0066, Validation Accuracy: 0.9632
Validation Loss: 0.0068, Validation Accuracy: 0.9635
Validation Loss: 0.0071, Validation Accuracy: 0.9638
Validation Loss: 0.0078, Validation Accuracy: 0.9578
Validation Loss: 0.0079, Validation Accuracy: 0.9583
Validation Loss: 0.0084, Validation Accuracy: 0.9588
Validation Loss: 0.0086, Validation Accuracy: 0.9592
Validation Loss: 0.0091, Validation Accuracy: 0.9596
Validation Loss: 0.0092, Validation Accuracy: 0.9613
Validation Loss: 0.0092, Validation Accuracy: 0.9615
Validation Loss: 0.0098, Validation Accuracy: 0.9583
Validation Loss: 0.0104, Validation Accuracy: 0.9576
Validation Loss: 0.0112, Validation Accuracy: 0.9569
Validation Loss: 0.0119, Validation Accuracy: 0.9563
Validation Loss: 0.0119, Validation Accuracy: 0.9577
Validation Loss: 0.0127, Validation Accuracy: 0.9570
Validation Loss: 0.0128, Validation Accuracy: 0.9574
Validation Loss: 0.0131, Validation Accuracy: 0.9577
Validation Loss: 0.0138, Validation Accuracy: 0.9571
Validation Loss: 0.0140, Validation Accuracy: 0.9575
Validation Loss: 0.0141, Validation Accuracy: 0.9586
Validation Loss: 0.0144, Validation Accuracy: 0.9589
